Date,Open,High,Low,Close,Adj Close,Volume
2020-03-30,465.750000,476.119995,455.029999,475.980011,475.980011,154635100
2020-03-31,480.899994,486.040009,475.480011,483.440002,483.440002,180625800
2020-04-01,468.989990,475.589996,465.290009,471.299988,471.299988,171378800
2020-04-02,473.980011,482.660004,468.119995,478.279999,478.279999,175468100
2020-04-03,475.209991,477.130005,469.670013,471.459991,471.459991,145035000
2020-04-06,486.260010,491.679993,482.690002,489.820007,489.820007,160151500
2020-04-07,503.970001,508.559998,494.109985,499.850006,499.850006,170193200
2020-04-08,496.190002,500.709991,491.489990,500.709991,500.709991,110399400
2020-04-09,506.549988,511.929993,499.049988,508.040009,508.040009,164889100
2020-04-14,512.169983,513.539978,505.820007,507.739990,507.739990,136514500
2020-04-15,506.410004,506.779999,489.380005,491.130005,491.130005,149716900
2020-04-16,498.540009,499.519989,492.760010,496.079987,496.079987,148052600
2020-04-17,509.760010,511.890015,504.220001,505.820007,505.820007,156452100
2020-04-20,508.029999,512.760010,502.119995,512.760010,512.760010,111512100
2020-04-21,506.059998,506.920013,495.619995,495.760010,495.760010,130167800
2020-04-22,500.670013,510.320007,499.630005,509.619995,509.619995,108351300
2020-04-23,509.929993,517.349976,504.920013,512.729980,512.729980,118200200
2020-04-24,503.559998,511.959991,502.420013,504.940002,504.940002,119262600
2020-04-27,513.039978,514.659973,509.600006,512.190002,512.190002,92161200
2020-04-28,512.909973,521.570007,512.150024,519.969971,519.969971,139089700
2020-04-29,519.890015,527.549988,518.500000,526.960022,526.960022,129156700
2020-04-30,527.309998,528.690002,511.760010,512.919983,512.919983,195572600
2020-05-04,496.540009,498.809998,490.790009,496.309998,496.309998,177307300
2020-05-05,503.850006,511.010010,499.739990,509.829987,509.829987,126447600
2020-05-06,509.239990,510.869995,505.149994,505.549988,505.549988,115416600
2020-05-07,508.859985,516.260010,508.200012,516.260010,516.260010,96260200
2020-05-08,520.299988,521.609985,517.369995,520.570007,520.570007,85734600
2020-05-11,522.950012,525.109985,515.530029,520.330017,520.330017,110573400
2020-05-12,517.770020,523.640015,517.380005,520.440002,520.440002,139613300
2020-05-13,513.450012,518.070007,510.350006,512.190002,512.190002,144261500
2020-05-14,504.239990,506.380005,492.420013,499.029999,499.029999,172732000
2020-05-15,507.070007,508.329987,499.209991,500.309998,500.309998,143575700
2020-05-18,509.190002,521.409973,508.760010,519.890015,519.890015,148258000
2020-05-19,525.200012,525.200012,515.000000,520.450012,520.450012,145493500
2020-05-20,517.729980,531.309998,517.520020,531.059998,531.059998,111422100
2020-05-21,524.219971,529.460022,522.140015,522.809998,522.809998,88447600
2020-05-22,515.030029,525.099976,514.320007,524.380005,524.380005,105195900
2020-05-25,528.719971,533.559998,526.229980,532.820007,532.820007,56793600
2020-05-26,538.400024,538.650024,529.719971,531.299988,531.299988,122450900
2020-05-27,532.419983,533.400024,523.260010,528.960022,528.960022,169157800
2020-05-28,532.210022,539.619995,531.000000,538.619995,538.619995,127433400
2020-05-29,533.729980,536.940002,529.979980,532.570007,532.570007,179738400
2020-06-01,540.469971,540.609985,532.890015,539.539978,539.539978,91884200
2020-06-02,543.039978,547.989990,541.409973,546.119995,546.119995,130017400
2020-06-03,551.690002,562.460022,551.539978,561.299988,561.299988,159580800
2020-06-04,557.890015,563.869995,555.950012,559.130005,559.130005,154019400
2020-06-05,563.859985,573.460022,562.799988,572.799988,572.799988,194111900
2020-06-08,567.440002,572.080017,563.559998,566.200012,566.200012,177277000
2020-06-09,568.530029,569.619995,558.419983,561.750000,561.750000,166234300
2020-06-10,564.599976,567.270020,558.210022,559.280029,559.280029,141828600
2020-06-11,549.580017,551.460022,540.260010,540.260010,540.260010,179831000
2020-06-12,536.809998,550.960022,535.349976,545.159973,545.159973,149419300
2020-06-15,534.080017,543.890015,529.780029,541.919983,541.919983,134158100
2020-06-16,553.169983,564.349976,551.760010,560.010010,560.010010,145589100
2020-06-17,560.669983,568.659973,560.429993,566.479980,566.479980,127055800
2020-06-18,564.679993,569.630005,560.700012,562.609985,562.609985,120256500
2020-06-19,566.520020,570.469971,565.950012,567.830017,567.830017,236385400
2020-06-22,562.280029,571.500000,561.419983,565.070007,565.070007,88819200
2020-06-23,568.950012,576.450012,568.789978,574.190002,574.190002,111639600
